Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
0.365625,0.352083,0.364063,0.356771,0.367188,0.358073,0.360938,0.341146
0.36875,0.365625,0.352083,0.364063,0.356771,0.367188,0.358073,0.360938
0.385417,0.36875,0.365625,0.352083,0.364063,0.356771,0.367188,0.358073
0.427083,0.385417,0.36875,0.365625,0.352083,0.364063,0.356771,0.367188
0.451042,0.427083,0.385417,0.36875,0.365625,0.352083,0.364063,0.356771
0.520833,0.451042,0.427083,0.385417,0.36875,0.365625,0.352083,0.364063
0.508333,0.520833,0.451042,0.427083,0.385417,0.36875,0.365625,0.352083
0.547917,0.508333,0.520833,0.451042,0.427083,0.385417,0.36875,0.365625
0.613542,0.547917,0.508333,0.520833,0.451042,0.427083,0.385417,0.36875
0.658333,0.613542,0.547917,0.508333,0.520833,0.451042,0.427083,0.385417
0.601042,0.658333,0.613542,0.547917,0.508333,0.520833,0.451042,0.427083
0.631771,0.601042,0.658333,0.613542,0.547917,0.508333,0.520833,0.451042
0.678125,0.631771,0.601042,0.658333,0.613542,0.547917,0.508333,0.520833
0.772396,0.678125,0.631771,0.601042,0.658333,0.613542,0.547917,0.508333
0.831771,0.772396,0.678125,0.631771,0.601042,0.658333,0.613542,0.547917
0.825521,0.831771,0.772396,0.678125,0.631771,0.601042,0.658333,0.613542
0.785417,0.825521,0.831771,0.772396,0.678125,0.631771,0.601042,0.658333
0.822917,0.785417,0.825521,0.831771,0.772396,0.678125,0.631771,0.601042
0.83125,0.822917,0.785417,0.825521,0.831771,0.772396,0.678125,0.631771
0.951042,0.83125,0.822917,0.785417,0.825521,0.831771,0.772396,0.678125
1.033333,0.951042,0.83125,0.822917,0.785417,0.825521,0.831771,0.772396
1.1625,1.033333,0.951042,0.83125,0.822917,0.785417,0.825521,0.831771
1.017708,1.1625,1.033333,0.951042,0.83125,0.822917,0.785417,0.825521
0.892708,1.017708,1.1625,1.033333,0.951042,0.83125,0.822917,0.785417
0.879167,0.892708,1.017708,1.1625,1.033333,0.951042,0.83125,0.822917
0.829167,0.879167,0.892708,1.017708,1.1625,1.033333,0.951042,0.83125
0.896875,0.829167,0.879167,0.892708,1.017708,1.1625,1.033333,0.951042
0.958333,0.896875,0.829167,0.879167,0.892708,1.017708,1.1625,1.033333
0.9375,0.958333,0.896875,0.829167,0.879167,0.892708,1.017708,1.1625
0.944792,0.9375,0.958333,0.896875,0.829167,0.879167,0.892708,1.017708
0.998438,0.944792,0.9375,0.958333,0.896875,0.829167,0.879167,0.892708
1.145833,0.998438,0.944792,0.9375,0.958333,0.896875,0.829167,0.879167
1.100521,1.145833,0.998438,0.944792,0.9375,0.958333,0.896875,0.829167
1.116667,1.100521,1.145833,0.998438,0.944792,0.9375,0.958333,0.896875
1.063542,1.116667,1.100521,1.145833,0.998438,0.944792,0.9375,0.958333
1.035417,1.063542,1.116667,1.100521,1.145833,0.998438,0.944792,0.9375
1.046354,1.035417,1.063542,1.116667,1.100521,1.145833,0.998438,0.944792
0.991146,1.046354,1.035417,1.063542,1.116667,1.100521,1.145833,0.998438
0.898438,0.991146,1.046354,1.035417,1.063542,1.116667,1.100521,1.145833
0.947917,0.898438,0.991146,1.046354,1.035417,1.063542,1.116667,1.100521
0.923958,0.947917,0.898438,0.991146,1.046354,1.035417,1.063542,1.116667
0.902083,0.923958,0.947917,0.898438,0.991146,1.046354,1.035417,1.063542
0.915625,0.902083,0.923958,0.947917,0.898438,0.991146,1.046354,1.035417
0.884896,0.915625,0.902083,0.923958,0.947917,0.898438,0.991146,1.046354
0.9125,0.884896,0.915625,0.902083,0.923958,0.947917,0.898438,0.991146
0.966667,0.9125,0.884896,0.915625,0.902083,0.923958,0.947917,0.898438
1.013542,0.966667,0.9125,0.884896,0.915625,0.902083,0.923958,0.947917
1.033333,1.013542,0.966667,0.9125,0.884896,0.915625,0.902083,0.923958
1.086458,1.033333,1.013542,0.966667,0.9125,0.884896,0.915625,0.902083
1.0625,1.086458,1.033333,1.013542,0.966667,0.9125,0.884896,0.915625
1.022917,1.0625,1.086458,1.033333,1.013542,0.966667,0.9125,0.884896
0.997396,1.022917,1.0625,1.086458,1.033333,1.013542,0.966667,0.9125
1.072396,0.997396,1.022917,1.0625,1.086458,1.033333,1.013542,0.966667
1.072917,1.072396,0.997396,1.022917,1.0625,1.086458,1.033333,1.013542
1.076042,1.072917,1.072396,0.997396,1.022917,1.0625,1.086458,1.033333
1.080729,1.076042,1.072917,1.072396,0.997396,1.022917,1.0625,1.086458
1.122917,1.080729,1.076042,1.072917,1.072396,0.997396,1.022917,1.0625
1.096875,1.122917,1.080729,1.076042,1.072917,1.072396,0.997396,1.022917
1.060417,1.096875,1.122917,1.080729,1.076042,1.072917,1.072396,0.997396
0.991667,1.060417,1.096875,1.122917,1.080729,1.076042,1.072917,1.072396
0.882422,0.991667,1.060417,1.096875,1.122917,1.080729,1.076042,1.072917
0.697917,0.882422,0.991667,1.060417,1.096875,1.122917,1.080729,1.076042
0.666276,0.697917,0.882422,0.991667,1.060417,1.096875,1.122917,1.080729
0.732292,0.666276,0.697917,0.882422,0.991667,1.060417,1.096875,1.122917
0.715625,0.732292,0.666276,0.697917,0.882422,0.991667,1.060417,1.096875
0.71875,0.715625,0.732292,0.666276,0.697917,0.882422,0.991667,1.060417
0.76875,0.71875,0.715625,0.732292,0.666276,0.697917,0.882422,0.991667
0.704167,0.76875,0.71875,0.715625,0.732292,0.666276,0.697917,0.882422
0.663542,0.704167,0.76875,0.71875,0.715625,0.732292,0.666276,0.697917
0.633854,0.663542,0.704167,0.76875,0.71875,0.715625,0.732292,0.666276
0.614063,0.633854,0.663542,0.704167,0.76875,0.71875,0.715625,0.732292
0.608333,0.614063,0.633854,0.663542,0.704167,0.76875,0.71875,0.715625
0.704167,0.608333,0.614063,0.633854,0.663542,0.704167,0.76875,0.71875
0.641667,0.704167,0.608333,0.614063,0.633854,0.663542,0.704167,0.76875
0.664063,0.641667,0.704167,0.608333,0.614063,0.633854,0.663542,0.704167
0.7125,0.664063,0.641667,0.704167,0.608333,0.614063,0.633854,0.663542
0.734896,0.7125,0.664063,0.641667,0.704167,0.608333,0.614063,0.633854
0.876042,0.734896,0.7125,0.664063,0.641667,0.704167,0.608333,0.614063
0.851042,0.876042,0.734896,0.7125,0.664063,0.641667,0.704167,0.608333
0.910417,0.851042,0.876042,0.734896,0.7125,0.664063,0.641667,0.704167
0.963542,0.910417,0.851042,0.876042,0.734896,0.7125,0.664063,0.641667
0.942708,0.963542,0.910417,0.851042,0.876042,0.734896,0.7125,0.664063
0.930208,0.942708,0.963542,0.910417,0.851042,0.876042,0.734896,0.7125
0.855208,0.930208,0.942708,0.963542,0.910417,0.851042,0.876042,0.734896
0.91875,0.855208,0.930208,0.942708,0.963542,0.910417,0.851042,0.876042
0.872526,0.91875,0.855208,0.930208,0.942708,0.963542,0.910417,0.851042
0.902604,0.872526,0.91875,0.855208,0.930208,0.942708,0.963542,0.910417
0.778646,0.902604,0.872526,0.91875,0.855208,0.930208,0.942708,0.963542
0.718229,0.778646,0.902604,0.872526,0.91875,0.855208,0.930208,0.942708
