size,age,bedroom,CP_value,city,house_type,living,bath,balcony,kitchen,environment_score,price
14.0,0.0,0,1.5043507830867415,1,9,0,0,0,0,2,12499
12.0,0.6,1,1.3355800692390007,1,9,0,1,1,0,2,12999
9.0,0.1,1,1.6383564270967257,1,0,0,1,0,0,2,7000
13.0,0.1,1,0.4516114340639118,1,9,0,1,1,0,1,7799
15.0,0.0,1,0.5458038405698732,1,9,0,1,1,0,2,12999
10.0,0.1,1,0.9280984427591812,1,8,0,1,0,0,1,7499
16.0,0.0,1,0.0,1,9,0,1,1,0,2,13499
10.0,0.0,0,0.7161394287516161,1,9,0,0,0,0,0,9500
13.0,0.0,1,0.6089095214748155,1,6,0,1,1,0,2,10499
10.0,0.0,1,1.5782036740327132,1,8,0,1,0,0,1,6999
15.0,1.1,1,1.032459267902752,1,8,1,1,1,0,2,16499
15.0,0.0,1,1.485945976339383,1,8,0,1,1,0,1,12499
15.0,0.1,0,0.0,1,9,0,0,0,0,1,12799
10.0,0.0,1,1.6062215436208374,1,9,0,1,0,0,1,6499
13.0,0.1,1,2.364553611286775,1,8,0,1,0,0,0,5999
9.0,0.1,1,0.1099434563756114,1,6,0,1,0,0,1,6499
8.0,20.0,1,0.7491854538156734,2,0,0,1,0,0,0,22000
8.0,0.2,0,1.07184260008335,1,0,0,0,0,0,2,5300
10.0,0.0,1,1.4426582779275718,1,8,0,1,0,0,0,4199
12.0,0.3,1,0.8851213652267578,1,9,0,1,0,0,0,5999
7.0,0.0,1,0.0,1,0,0,1,1,0,3,7500
14.0,0.1,1,0.0,1,9,0,1,0,0,1,8499
12.0,0.1,1,0.8560730647180029,1,9,0,1,0,0,1,7499
3.0,20.0,1,0.5419869582751075,8,0,0,1,0,0,0,5500
20.0,6.4,3,0.8422627497739967,1,9,1,1,0,0,1,17800
12.0,1.8,1,0.8632572777207207,1,8,0,1,1,0,1,12600
38.0,0.0,3,1.9054159248050868,1,9,2,2,1,1,2,29000
10.0,0.2,0,0.0,1,8,0,0,0,0,1,7499
17.0,0.1,0,0.3394456200650392,1,0,0,0,0,0,1,13999
9.0,0.0,0,0.9408447827120154,1,9,0,0,0,0,1,11000
21.0,0.0,1,0.71618244909497,1,9,1,1,1,0,0,13999
15.0,1.3,1,1.061365178231531,1,8,0,1,1,0,0,13999
12.0,0.1,1,0.493256159599568,1,8,0,1,1,0,2,8999
10.0,0.1,0,0.1514362666332851,1,8,0,0,0,0,1,5299
16.0,0.1,1,0.6311544669708394,1,9,0,1,1,0,0,11299
66.39,0.0,4,0.3970517940283057,1,8,2,3,0,0,0,45000
14.0,0.1,1,0.0521795783901204,1,9,1,1,1,0,2,15000
8.0,0.0,1,0.0,1,5,0,1,0,0,1,7499
13.0,0.1,1,0.8474574710094531,1,9,0,1,1,0,2,10999
15.6,0.1,1,0.0771021796672656,1,8,1,1,1,0,2,10499
16.0,0.0,0,1.0048190845826994,1,8,0,0,0,0,2,12999
14.0,0.0,1,0.8571400687335469,1,6,0,1,0,0,1,7799
14.0,0.1,1,0.0521799718746267,1,9,1,1,1,0,2,14999
7.0,10.3,1,1.877220477133946,1,8,0,1,0,0,1,5499
14.0,0.0,1,0.0,1,9,0,1,0,0,1,9999
6.0,20.0,1,0.0,8,0,0,1,1,0,0,13500
25.0,10.1,3,0.5559458245754978,1,9,2,2,0,0,3,25000
16.0,0.0,1,0.1320377793305762,1,9,0,1,0,0,2,11499
10.0,0.0,0,1.337121845634817,1,9,0,0,0,0,1,6499
9.0,0.0,1,1.5993312996741251,1,9,0,1,1,0,2,9499
43.0,0.1,4,0.3499918122761738,1,2,3,5,1,1,3,38000
10.0,0.0,0,0.3573290369620662,1,9,0,0,0,0,1,7999
12.0,0.0,1,0.8425418244258717,1,2,0,1,1,0,2,10999
10.0,0.1,1,0.0493256159599568,1,8,0,1,1,0,2,8999
15.0,0.1,1,0.1214354753472112,1,9,1,1,0,1,1,13999
8.0,0.0,1,1.862194752625168,1,9,0,1,0,0,1,7999
12.0,6.1,1,0.3631632386005586,1,9,0,1,1,0,2,6999
13.0,0.1,1,1.6983518116614538,1,8,0,1,1,0,2,9499
14.0,0.1,1,0.0,1,8,0,1,1,0,2,12599
10.0,0.0,1,0.0,1,8,0,1,0,0,1,8999
15.0,0.0,1,1.525114828179542,1,9,0,1,0,0,2,13999
9.0,20.1,1,0.495231634902598,8,0,0,1,0,0,0,15000
18.0,1.6,2,0.0266663747676612,1,8,1,1,1,0,2,14500
10.0,5.2,1,1.933348331042185,1,0,0,1,1,0,1,7599
12.0,0.1,0,0.1897831845976844,1,8,0,0,0,0,2,11999
10.0,0.1,1,1.2580021990054502,1,0,0,1,0,0,1,15000
8.0,0.0,1,1.6648151667232316,1,8,1,1,0,0,1,7499
6.0,0.0,1,0.1460624960802115,1,0,0,1,0,0,2,4999
13.0,5.0,1,0.2703576961816136,1,9,0,1,1,0,2,11000
14.0,0.0,1,2.206566330290312,1,9,0,1,1,0,0,8999
10.0,0.2,0,0.3040629863045241,1,8,0,0,0,0,2,9499
9.2,0.1,1,0.5392464765089513,1,8,0,1,0,0,1,6499
11.0,0.0,1,1.8135434899291327,1,8,0,1,1,0,1,6499
14.0,0.1,1,0.1247841351215739,1,9,0,1,0,0,1,5999
10.0,0.0,1,1.8944812640165336,1,0,0,1,1,0,2,9000
16.0,0.0,2,0.9215893608361152,1,5,1,1,1,0,2,15499
15.0,2.1,1,0.8005700359261856,1,8,0,1,1,0,2,15999
12.0,0.1,1,0.3040068575491215,1,8,0,1,1,0,2,8999
13.0,0.1,1,1.34235724831937,1,9,0,1,0,0,1,6499
12.0,0.0,0,2.5411481794079696,1,8,0,0,0,0,2,11999
40.0,43.0,0,0.5447176490082607,15,8,0,0,0,0,0,38000
5.5,0.0,1,0.247958056967703,1,8,0,1,0,0,1,4800
11.0,0.0,1,0.1067253377999506,1,8,0,1,0,0,1,8299
19.84,0.1,2,0.3284482222037877,1,9,2,1,0,0,2,23000
41.59,0.11,3,0.1749952394945022,15,9,2,2,1,0,3,30000
11.0,0.1,1,1.2588111496116217,1,9,0,1,1,0,2,8499
5.0,20.0,1,1.9232905493300388e-05,2,0,0,1,0,0,0,12000
11.0,0.1,1,1.0494086178160371,1,8,0,1,0,0,1,4499
14.0,0.0,1,4125.235541382809,1,8,0,1,0,0,0,6899
14.0,0.0,1,1.2804527245115316,1,8,0,1,1,0,0,8999
6.0,0.0,1,0.1692225644069192,1,8,0,1,0,0,0,4000
15.0,0.2,1,1.7106450110863671,1,8,0,1,0,0,1,10999
14.0,20.0,0,0.0,2,0,0,0,0,0,0,58800
49.0,20.0,0,0.5381967643937673,8,0,0,0,0,0,0,48999
12.0,0.0,1,0.8797488549620673,1,9,0,1,1,0,2,8499
13.0,0.1,0,0.2746034420258936,1,8,0,0,0,0,2,13500
13.0,0.1,1,0.6150921675165978,1,0,1,1,1,0,2,11999
10.0,1.1,1,0.0,1,8,0,1,1,0,0,12799
28.0,20.0,3,1.2498482119764345,8,9,2,2,0,1,0,38000
10.0,0.1,1,0.7095775819201368,1,0,0,1,0,0,1,5999
9.0,3.9,1,0.0876374976481269,1,9,0,1,1,0,0,4999
12.0,0.0,1,1.2588111496116217,1,9,0,1,1,0,2,8499
15.0,0.0,0,0.5265393819366703,1,9,0,0,0,0,1,15000
8.0,0.0,1,0.940445650423383,1,8,1,1,0,0,1,7499
10.0,0.1,1,1.789559839819035,1,0,0,1,1,0,2,5499
12.0,0.0,1,0.5138625224260002,1,8,0,1,1,0,2,8499
11.0,0.1,0,1.3190546164428272,1,9,0,1,1,0,1,7999
23.0,20.1,2,0.8963340038168124,8,9,1,1,1,1,0,37000
40.0,0.0,2,1.4303168284012884,1,9,2,1,1,0,0,22499
10.0,0.1,1,1.1102299828882294,1,8,0,1,1,0,2,9499
12.0,0.0,1,1.3807570567872485,1,8,0,1,0,0,0,6799
10.0,0.0,0,1.1533527468259668,1,0,0,0,0,0,1,4999
15.0,0.0,1,1.168869767701636,1,9,0,1,1,0,2,11999
10.0,0.0,1,2.4426738705722437,1,8,0,1,0,0,1,6899
15.0,0.0,1,0.8189467208246803,1,9,1,0,1,0,2,10999
13.0,0.0,1,0.4390627234236543,1,8,1,1,0,0,1,89999
20.0,0.1,2,0.9996014354259256,1,8,1,1,1,0,2,20000
13.0,0.0,1,1.862194752625168,1,9,0,1,0,0,0,7999
10.0,0.0,0,0.5737639927920541,1,0,0,0,0,0,0,13000
10.0,0.0,1,1.0638338255011544,1,0,0,1,0,0,1,6499
8.5,0.0,1,1.0268761040727967,1,9,0,1,0,0,1,7499
16.0,0.0,1,0.5434505728476854,1,9,1,1,1,0,3,13499
45.58,0.0,0,0.7715676778430404,1,7,0,0,0,0,1,330000
12.0,0.1,0,1.5975851396639922,1,8,0,0,0,0,2,10999
14.0,0.0,1,0.6544226076933841,1,8,0,1,1,0,2,7999
17.0,1.3,1,0.8063683566492277,1,9,1,1,1,0,2,17000
15.0,0.0,1,0.3390359137671343,1,8,0,1,0,0,1,12499
15.5,0.0,0,0.0649011606354228,1,6,0,0,0,0,1,12499
31.0,5.4,3,0.2739051213562684,1,9,2,2,1,1,2,27000
18.0,0.0,1,0.1081548507946809,1,8,0,1,1,1,2,14999
23.0,0.0,3,2.152041953738754,1,9,2,2,0,1,1,21499
10.0,0.1,1,0.965451822957554,1,0,1,1,1,0,2,12000
33.0,20.1,3,0.690219027556545,8,0,2,2,1,1,0,26000
10.0,1.1,1,1.4037467328599806,1,8,0,1,0,0,1,8499
15.0,0.0,0,0.7094891551781946,1,8,0,0,0,0,2,13999
18.0,0.0,1,0.9582397026536924,1,9,1,1,1,0,2,13499
10.0,0.0,0,0.8425328931914287,1,8,0,0,0,0,2,11000
12.0,0.1,1,0.0,1,8,0,1,0,0,1,9999
